Unnamed: 0,QA,math,instruct,k0-gamma0.25-delta1,k0-gamma0.25-delta2,k1-gamma0.25-delta1,k1-gamma0.25-delta2,k2-gamma0.25-delta2,aar-k2,aar-k3,aar-k4
QA,0.9999999999999998,0.004742936669755033,0.016779092130509977,0.0010219176208269445,0.0010321793972682494,0.0008948850800847309,0.0007201293185871981,0.0006518495940802313,0.0013207033001355183,0.0010406602239742488,0.0009413052293074579
math,0.004742936669755033,1.0,0.01294383013926174,0.003100346308780362,0.004546928799031694,0.0016518108505012702,0.0015031058334103713,0.0011746565652143934,0.003320109698292345,0.0033708316885888608,0.003248307784104886
instruct,0.016779092130509977,0.01294383013926174,1.0000000000000002,0.0022861040096720372,0.002413354921600479,0.0011710370972096837,0.0017297522814320187,0.0005579037258805973,0.00638510173751494,0.004917258354050048,0.004594757885397492
k0-gamma0.25-delta1,0.0010219176208269445,0.003100346308780362,0.0022861040096720372,0.9999999999999999,0.5099140454405471,0.3688492920571679,0.20682817457425481,0.20746968176456818,0.04352726469897542,0.04662405212290922,0.047865284711127346
k0-gamma0.25-delta2,0.0010321793972682494,0.004546928799031694,0.002413354921600479,0.5099140454405471,1.0000000000000002,0.3392210302814535,0.2096564520027079,0.19662390892506812,0.04426670943050596,0.046910831542263394,0.04672400099436833
k1-gamma0.25-delta1,0.0008948850800847309,0.0016518108505012702,0.0011710370972096837,0.3688492920571679,0.3392210302814535,1.0,0.6467535072866611,0.19606164789180988,0.04805553196127459,0.04632196649542095,0.04624112557575474
k1-gamma0.25-delta2,0.0007201293185871981,0.0015031058334103713,0.0017297522814320187,0.20682817457425481,0.2096564520027079,0.6467535072866611,0.9999999999999999,0.1583950750412361,0.05503074469930702,0.04147907504461039,0.03651341789421985
k2-gamma0.25-delta2,0.0006518495940802313,0.0011746565652143934,0.0005579037258805973,0.20746968176456818,0.19662390892506812,0.19606164789180988,0.1583950750412361,1.0,0.05815128526849021,0.04843681149202005,0.038807164820519505
aar-k2,0.0013207033001355183,0.003320109698292345,0.00638510173751494,0.04352726469897542,0.04426670943050596,0.04805553196127459,0.05503074469930702,0.05815128526849021,1.0,0.052219971399743575,0.0336990622405833
aar-k3,0.0010406602239742488,0.0033708316885888608,0.004917258354050048,0.04662405212290922,0.046910831542263394,0.04632196649542095,0.04147907504461039,0.04843681149202005,0.052219971399743575,1.0000000000000002,0.04940749224584698
aar-k4,0.0009413052293074579,0.003248307784104886,0.004594757885397492,0.047865284711127346,0.04672400099436833,0.04624112557575474,0.03651341789421985,0.038807164820519505,0.0336990622405833,0.04940749224584698,1.0
