  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-28 23:15:51,257 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.0755, 'grad_norm': 0.5038977265357971, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.0753, 'grad_norm': 0.5263236165046692, 'learning_rate': 2e-08, 'epoch': 0.0}
{'loss': 0.0754, 'grad_norm': 0.5316469669342041, 'learning_rate': 4e-08, 'epoch': 0.0}
{'loss': 0.0756, 'grad_norm': 0.5013751983642578, 'learning_rate': 6.000000000000001e-08, 'epoch': 0.0}
{'loss': 0.0775, 'grad_norm': 0.5884950757026672, 'learning_rate': 8e-08, 'epoch': 0.0}
{'loss': 0.0716, 'grad_norm': 0.5083231329917908, 'learning_rate': 1.0000000000000001e-07, 'epoch': 0.0}
{'loss': 0.076, 'grad_norm': 0.509574294090271, 'learning_rate': 1.2000000000000002e-07, 'epoch': 0.0}
{'loss': 0.0759, 'grad_norm': 0.6861470341682434, 'learning_rate': 1.4e-07, 'epoch': 0.0}
{'loss': 0.0739, 'grad_norm': 0.5055333375930786, 'learning_rate': 1.6e-07, 'epoch': 0.0}
{'loss': 0.0764, 'grad_norm': 0.5159467458724976, 'learning_rate': 1.8e-07, 'epoch': 0.0}
{'loss': 0.0714, 'grad_norm': 0.5144152641296387, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.0}
{'loss': 0.0731, 'grad_norm': 0.5534103512763977, 'learning_rate': 2.2e-07, 'epoch': 0.0}
{'loss': 0.0766, 'grad_norm': 0.4807474613189697, 'learning_rate': 2.4000000000000003e-07, 'epoch': 0.0}
{'loss': 0.0774, 'grad_norm': 0.4721183180809021, 'learning_rate': 2.6e-07, 'epoch': 0.0}
{'loss': 0.0776, 'grad_norm': 0.45350244641304016, 'learning_rate': 2.8e-07, 'epoch': 0.0}
