  0%|          | 0/5000 [00:00<?, ?it/s][WARNING|logging.py:328] 2025-08-29 08:01:35,710 >> `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
                                                   
{'loss': 0.3115, 'grad_norm': 1.8098933696746826, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.3167, 'grad_norm': 1.8110737800598145, 'learning_rate': 2e-08, 'epoch': 0.0}
{'loss': 0.2935, 'grad_norm': 2.167118549346924, 'learning_rate': 4e-08, 'epoch': 0.0}
{'loss': 0.3141, 'grad_norm': 1.8937036991119385, 'learning_rate': 6.000000000000001e-08, 'epoch': 0.0}
{'loss': 0.3107, 'grad_norm': 1.8720725774765015, 'learning_rate': 8e-08, 'epoch': 0.0}
{'loss': 0.3158, 'grad_norm': 1.8783118724822998, 'learning_rate': 1.0000000000000001e-07, 'epoch': 0.0}
{'loss': 0.3164, 'grad_norm': 1.8185831308364868, 'learning_rate': 1.2000000000000002e-07, 'epoch': 0.0}
{'loss': 0.3084, 'grad_norm': 1.7801512479782104, 'learning_rate': 1.4e-07, 'epoch': 0.0}
{'loss': 0.2977, 'grad_norm': 2.0485565662384033, 'learning_rate': 1.6e-07, 'epoch': 0.0}
{'loss': 0.3273, 'grad_norm': 1.7464959621429443, 'learning_rate': 1.8e-07, 'epoch': 0.0}
{'loss': 0.3165, 'grad_norm': 1.774595022201538, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.0}
{'loss': 0.3045, 'grad_norm': 1.715450644493103, 'learning_rate': 2.2e-07, 'epoch': 0.0}
{'loss': 0.3019, 'grad_norm': 1.5859384536743164, 'learning_rate': 2.4000000000000003e-07, 'epoch': 0.0}
{'loss': 0.3139, 'grad_norm': 1.4911389350891113, 'learning_rate': 2.6e-07, 'epoch': 0.0}
{'loss': 0.3057, 'grad_norm': 1.5785338878631592, 'learning_rate': 2.8e-07, 'epoch': 0.0}
{'loss': 0.3048, 'grad_norm': 1.5843042135238647, 'learning_rate': 3.0000000000000004e-07, 'epoch': 0.0}
{'loss': 0.3148, 'grad_norm': 1.3541852235794067, 'learning_rate': 3.2e-07, 'epoch': 0.0}
{'loss': 0.3092, 'grad_norm': 1.347030758857727, 'learning_rate': 3.4000000000000003e-07, 'epoch': 0.0}
{'loss': 0.318, 'grad_norm': 1.3251700401306152, 'learning_rate': 3.6e-07, 'epoch': 0.0}
{'loss': 0.3055, 'grad_norm': 1.3821568489074707, 'learning_rate': 3.8e-07, 'epoch': 0.0}
{'loss': 0.2787, 'grad_norm': 1.2229465246200562, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.0}
{'loss': 0.3045, 'grad_norm': 1.1304738521575928, 'learning_rate': 4.2000000000000006e-07, 'epoch': 0.0}
{'loss': 0.3071, 'grad_norm': 1.1923366785049438, 'learning_rate': 4.4e-07, 'epoch': 0.0}
{'loss': 0.2801, 'grad_norm': 1.560530424118042, 'learning_rate': 4.6000000000000004e-07, 'epoch': 0.0}
{'loss': 0.286, 'grad_norm': 1.1239089965820312, 'learning_rate': 4.800000000000001e-07, 'epoch': 0.01}
{'loss': 0.304, 'grad_norm': 1.1723363399505615, 'learning_rate': 5.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.3081, 'grad_norm': 1.2010406255722046, 'learning_rate': 5.2e-07, 'epoch': 0.01}
{'loss': 0.305, 'grad_norm': 1.3325119018554688, 'learning_rate': 5.4e-07, 'epoch': 0.01}
{'loss': 0.2926, 'grad_norm': 1.2852208614349365, 'learning_rate': 5.6e-07, 'epoch': 0.01}
{'loss': 0.2938, 'grad_norm': 1.4282742738723755, 'learning_rate': 5.800000000000001e-07, 'epoch': 0.01}
{'loss': 0.2901, 'grad_norm': 1.2955331802368164, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.301, 'grad_norm': 1.050173282623291, 'learning_rate': 6.200000000000001e-07, 'epoch': 0.01}
{'loss': 0.2938, 'grad_norm': 1.0116504430770874, 'learning_rate': 6.4e-07, 'epoch': 0.01}
{'loss': 0.3026, 'grad_norm': 1.0986627340316772, 'learning_rate': 6.6e-07, 'epoch': 0.01}
{'loss': 0.2825, 'grad_norm': 1.3431222438812256, 'learning_rate': 6.800000000000001e-07, 'epoch': 0.01}
{'loss': 0.2728, 'grad_norm': inf, 'learning_rate': 7.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.2999, 'grad_norm': 1.1149446964263916, 'learning_rate': 7.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.291, 'grad_norm': 1.0272265672683716, 'learning_rate': 7.2e-07, 'epoch': 0.01}
{'loss': 0.2932, 'grad_norm': 1.0345242023468018, 'learning_rate': 7.4e-07, 'epoch': 0.01}
{'loss': 0.288, 'grad_norm': 1.3039706945419312, 'learning_rate': 7.6e-07, 'epoch': 0.01}
{'loss': 0.2143, 'grad_norm': 2.42330002784729, 'learning_rate': 7.8e-07, 'epoch': 0.01}
{'loss': 0.2881, 'grad_norm': 1.2467734813690186, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.2836, 'grad_norm': 1.0369640588760376, 'learning_rate': 8.200000000000001e-07, 'epoch': 0.01}
{'loss': 0.2906, 'grad_norm': 0.9287864565849304, 'learning_rate': 8.400000000000001e-07, 'epoch': 0.01}
{'loss': 0.2838, 'grad_norm': 1.1364556550979614, 'learning_rate': 8.6e-07, 'epoch': 0.01}
{'loss': 0.245, 'grad_norm': 3.081284523010254, 'learning_rate': 8.8e-07, 'epoch': 0.01}
{'loss': 0.2817, 'grad_norm': 0.9296337366104126, 'learning_rate': 9.000000000000001e-07, 'epoch': 0.01}
{'loss': 0.2852, 'grad_norm': 0.9658355712890625, 'learning_rate': 9.200000000000001e-07, 'epoch': 0.01}
{'loss': 0.2828, 'grad_norm': 0.964524507522583, 'learning_rate': 9.400000000000001e-07, 'epoch': 0.01}
{'loss': 0.2632, 'grad_norm': 1.3455957174301147, 'learning_rate': 9.600000000000001e-07, 'epoch': 0.01}
{'loss': 0.2877, 'grad_norm': 0.9095256924629211, 'learning_rate': 9.800000000000001e-07, 'epoch': 0.01}
{'loss': 0.2916, 'grad_norm': 0.9729456305503845, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.01}
{'loss': 0.2851, 'grad_norm': 1.138240933418274, 'learning_rate': 1.02e-06, 'epoch': 0.01}
{'loss': 0.2877, 'grad_norm': 0.8762460947036743, 'learning_rate': 1.04e-06, 'epoch': 0.01}
